flight_no,carrier,date,origin,dest,sched_dep,air_time_min,delay_min
BW167,BW,2026-08-19,JFK,LAX,09:35,338,0
PR178,PR,2026-08-20,sfo,BOS,08:10,362,0
BW144,BW,2026-08-23,BOS,MSP,16:40,168,-4
AU298,AU,8/19/2026,ATL,ORD,17:55,108,n/a
SK301,SK,2026-08-19,IAD,DEN,11:00,214,14
BW666,BW,2026-08-20,LAX,SFO,21:25,69,-4
SK292,SK,2026-08-21,ATL,PHL,15:20,117,7
AU491,AU,8/18/2026,DFW,ORD,11:55,137,27
PR117,PR,8/17/2026,BOS,IAD,19:45,83,5
PR725,PR,2026-08-17,SLC,SEA,05:00,118,1
SK346,SK,2026-08-20,MIA,ATL,16:50,111,0
SK607,SK,2026-08-17,DEN,slc,13:10,77,14
AU332,AU,8/17/2026,CLT,ATL,18:30,48,-4
AU197,AU,2026-08-20,JFK,MIA,12:05,175,98
PR571,PR,2026-08-17,ORD,SLC,09:30,183,-4
PR710,PR,2026-08-20,LAX ,DEN,15:45,145,9
SK130,SK,2026-08-19,ATL,BOS,09:00,156,7
AU247,AU,2026-08-22,SFO,EWR,05:05,346,7
SK624,SK,2026-08-21,DEN ,LAS,05:45,108,-6
BW561,BW,8/19/2026,DEN,IAH,07:10,137,38
SK293,SK,2026-08-23,ATL,PHL,08:50,118,0
PR665,PR,8/19/2026,IAH,LAX,21:00,203,
BW354,BW,2026-08-21,DEN,ATL,09:15,177,13
PR738,PR,8/17/2026,LAS,LAX,09:20,68,15
AU193,AU,2026-08-20,JFK, Mia,21:40,159,-1
AU612,AU,2026-08-21,SLC,DEN,12:20,72,-5
SK377,SK,2026-08-22,ATL,SEA,14:15,303,8
PR239,PR,8/20/2026,ORD,JFK,10:30,128,5
SK733,SK,2026-08-18,SEA,LAX,18:35,143,8
SK208,SK,8/17/2026,SFO,JFK ,14:05,359,46
AU177,AU,8/21/2026,LAX,JFK,07:20,325,7
SK573,SK,2026-08-21,DFW,LAS,15:05,162,44
SK531,SK,8/17/2026,DEN, Dfw,09:30,104,11
SK705,SK,2026-08-19,LAX,LAS,17:15,54,13
AU102,AU,2026-08-18,BOS,JFK,12:45,59,9
PR249,PR,2026-08-23,SEA,JFK,13:10,331,5
PR368,PR,2026-08-20,MIA,ATL,20:00,111,7
SK416,SK,2026-08-21,MIA,LAX,21:00,324,14
AU347,AU,2026-08-23,DEN,ATL,17:10,176,-7
SK368,SK,2026-08-22,ATL,LAX,08:55,276,2
AU570,AU,2026-08-21,SEA,DFW,10:20,248,-5
BW189,BW,2026-08-18,JFK,MIA,09:35,171,-3
PR577,PR,2026-08-20,MSP,DTW,12:15,92,-2
PR556,PR,2026-08-19,DFW ,ORD,09:15,120,
PR208,PR,8/21/2026,SFO,JFK,21:10,360,78
AU106,AU,2026-08-17,JFK,BOS,07:05,53,65
AU316,AU,2026-08-22,DFW,ATL,17:55,110,17
BW453,BW,2026-08-20,MSP,ORD,20:50,68,4
AU655,AU,2026-08-22,DEN,SEA,18:50,154,-7
SK649,SK,2026-08-17,LAX,DEN,13:10,143,9
SK472,SK,2026-08-22,MSP,ORD,15:50,78,-6
SK344,SK,2026-08-21,ATL,MIA,06:55,107,41
BW652,BW,8/18/2026,las,LAX,17:05,58,9
PR304,PR,2026-08-20,PHL,CLT,14:45,92,3
BW479,BW,2026-08-19,ORD,LAS,19:50,221,-8
PR332,PR,2026-08-19,ORD,ATL,18:40,102,-8
PR231,PR,2026-08-21,ATL,JFK,10:35,126,4
SK738,SK,2026-08-23,SFO,SEA,07:25,119,4
AU496,AU,8/22/2026,ORD,LAS,13:05,216,36
BW258,BW,2026-08-19,IAH,EWR,07:45,214,-4
SK493,SK,2026-08-22,ORD,SLC,11:40,185,-8
BW261,BW,2026-08-21,PHL, Ord,09:35,122,4
AU722,AU,2026-08-17,SFO,SEA,17:45,123,-3
AU122,AU,2026-08-17,BOS,iad,12:15,81,4
AU400,AU,8/22/2026,DFW,CLT,15:40,141,-5
SK397,SK,2026-08-17,PHX,ATL,19:05,213,-4
BW506,BW,2026-08-19,DEN,MSP,17:50,114,31
PR658,PR,2026-08-22,IAH,DEN,08:00,134,16
SK512,SK,2026-08-17,DEN,MSP,07:20,112,11
AU251,AU,8/18/2026,SFO,EWR,08:30,343,17
PR643,PR,2026-08-20,LAS,DFW,07:35,167,-7
BW645,BW,2026-08-22,LAS,lax,05:20,57,34
SK688,SK,2026-08-18,SEA,PHX,19:15,175,5
SK267,SK,2026-08-21,EWR,DEN,08:15,233,-5
PR656,PR,8/23/2026,IAH,DEN,20:10,135,2
SK431,SK,8/22/2026,DEN,ORD,17:25,147,9
BW172,BW,2026-08-21,JFK,LAX,16:35,337,48
PR440,PR,2026-08-21,ATL,PHX,05:15,224,2
SK577,SK,8/19/2026, Dfw,LAS,21:10,166,-6
PR222,PR,2026-08-23,MIA,JFK,11:45,162,14
SK601,SK,2026-08-19,DEN,SLC,15:00,92,-7
PR508,PR,2026-08-20,SFO,ORD,13:45,251,24
AU151,AU,8/17/2026,MSP,BOS,08:45,175,20
SK675,SK,8/20/2026,PHX,LAX,18:25,78,11
PR486,PR,2026-08-20,ORD,DEN,20:55,143,57
PR591,PR,2026-08-18,DEN,MSP,16:30,114,2
SK246,SK,2026-08-23,EWR,ORD,10:10,114,n/a
AU684,AU,2026-08-21,LAS,LAX,15:45,61,43
SK220,SK,2026-08-23,JFK,MIA,10:45,166,8
BW135,BW,2026-08-17,ORD,BOS,09:25,139,-8
SK467,SK,2026-08-21,ORD,MSP,07:20,62,-3
SK112,SK,2026-08-18,JFK,BOS,17:35,52,23
BW176,BW,2026-08-22,LAX,JFK,09:40,336,4
SK670,SK,2026-08-17,phx,LAX,11:35,76,-3
BW138,BW,2026-08-22,BOS,DTW,18:40,95,n/a
PR105,PR,2026-08-22,BOS,JFK,08:40,60,-8
PR409,PR,2026-08-20,ATL,LAX,13:55,270,5
PR596,PR,2026-08-17,MSP,SEA,21:20,209,12
PR612,PR,8/21/2026,DEN,DFW,05:20,115,1
AU212,AU,8/23/2026,ATL,JFK,21:45,138,14
AU276,AU,8/23/2026,PHL,CLT,14:45,90,9
BW220,BW,2026-08-20,JFK,ORD,21:40,128,16
BW277,BW,8/17/2026,PHL,ATL,19:35,113,2
AU425,AU,8/20/2026,DEN,ORD,18:00,144,10
PR554,PR,2026-08-19,DFW,ORD,16:25,131,1
AU360,AU,2026-08-20,LAX,ATL,19:20,263,4
BW311,BW,2026-08-22,DFW,ATL,06:20,128,13
AU619,AU,2026-08-21,PHX,DEN,18:20,104,13
AU512,AU,8/21/2026,DTW,MSP,09:55,91,14
SK490,SK,2026-08-17,LAS,ORD,06:25,219,4
AU178,AU,2026-08-18,LAX,JFK,13:05,338,-1
BW527,BW,2026-08-23,DFW,LAX,06:05,190,-6
BW254,BW,2026-08-22,EWR,IAH,05:25,201,19
PR366,PR,2026-08-19,ATL,MIA,12:10,99,-2
BW513,BW,2026-08-22,SLC,MSP,14:55,158,-7
AU376,AU,2026-08-17,IAH,ATL,08:30,118,-2
SK695,SK,2026-08-23,las,LAX,14:45,60,-6
PR138,PR,2026-08-17,BOS,ORD,18:05,133,12
PR705,PR,2026-08-22,LAX,DEN ,21:25,139,-1
SK319,SK,8/18/2026,ATL,ORD,14:00,107,-1
SK630,SK,2026-08-23,LAS,DEN,20:30,110,60
BW574,BW,2026-08-18,DEN,SLC,14:50,76,-7
SK391,SK,2026-08-17,ATL,PHX ,07:10,225,29
BW170,BW,2026-08-23,JFK,LAX,15:35,355,6
SK130,SK,2026-08-19,ATL,BOS,09:00,156,7
PR715,PR,2026-08-19,SFO,den,13:00,151,3
BW589,BW,2026-08-18, Den,las,14:50,110,-8
AU723,AU,2026-08-17,SEA,SFO,09:05,115,5
SK184,SK,2026-08-21,LAX,JFK,11:05,345,-8
SK265,SK,2026-08-23,SFO,EWR,08:55,354,34
SK273,SK,8/21/2026,IAH,ewr,15:00,206,-3
AU591,AU,8/21/2026,LAS,DFW,20:20,171,6
BW516,BW,2026-08-20,DFW,DEN,18:25,114,-4
BW301,BW,8/18/2026,ORD, Atl,05:20,111,6
SK681,SK,2026-08-21,Los Angeles International,PHX,05:50,85,9
SK545,SK,2026-08-20,LAX,DFW,12:55,183,42
BW107,BW,2026-08-23,JFK,BOS,18:10,64,4
PR371,PR,2026-08-21,MIA,ATL,14:25,109,5
PR399,PR,2026-08-17,DEN,ATL,07:15,180,3
AU558,AU,2026-08-19,LAX,DFW,17:35,190,8
PR724,PR,8/22/2026,SLC,SEA,12:45,108,5
AU125,AU,2026-08-18,IAD,BOS,16:15,79,4
SK544,SK,2026-08-19,LAX,DFW,16:20,195,
SK476,SK,2026-08-19, Dtw,ORD,05:25,64,1
PR453,PR,2026-08-20,ORD,CLT,12:15,114,-7
PR142,PR,2026-08-22,BOS,ORD,05:55,139,-5
AU467,AU,8/17/2026,ORD,MSP,08:35,70,44
BW243,BW,2026-08-23,ORD,EWR,12:20,116,-4
PR502,PR,8/17/2026,ORD,SEA,05:00,250,17
PR336,PR,2026-08-18,ATL ,DFW,12:35,118,-1
BW196,BW,2026-08-21,JFK,MIA,05:40,166,5
PR248,PR,2026-08-20,SEA,JFK,18:05,341,-7
SK669,SK,2026-08-23,SEA,SLC,14:55,118,8
PR284,PR,2026-08-23,PHL,ORD,16:35,113,10
BW543,BW,2026-08-18, Dfw,LAS,06:05,162,140
BW340,BW,8/20/2026,ATL,DEN,11:55,180,-8
SK189,SK,2026-08-18,LAX,JFK,07:05,333,7
AU345,AU,2026-08-20,DEN,ATL,09:15,184,17
BW516,BW,2026-08-20,DFW,DEN,18:25,114,-4
PR580,PR,2026-08-19,MSP,DTW,13:25,99,-6
SK491,SK,2026-08-18,LAS,ORD,07:35,224,-4
BW436,BW,2026-08-20,ORD, Lax,07:10,246,55
BW681,BW,2026-08-17,LAX,SEA,08:05,144,11
BW395,BW,2026-08-18,DFW,MIA,12:15,169,-6
SK737,SK,2026-08-21,SFO,SEA,19:05,127,n/a
AU621,AU,2026-08-23,PHX,DEN ,15:55,102,41
BW457,BW,2026-08-23,ORD,DTW,21:30,59,64
AU188,AU,2026-08-23,SFO,JFK,21:55,357,33
BW322,BW,8/18/2026,atl,MIA,06:50,104,109
AU649,AU,2026-08-22,SFO,DEN,11:50,155,49
PR109,PR,2026-08-18,BOS,JFK,10:05,47,7
AU383,AU,8/22/2026,atl,PHX,15:30,228,54
AU269,AU,2026-08-19,ORD,PHL,12:25,118,14
BW568,BW,2026-08-17,LAX,IAH,13:30,192,-3
AU531,AU,2026-08-22,SEA,MSP,12:00,209,-3
PR579,PR,2026-08-23,MSP,Detroit Metropolitan Wayne County,09:35,77,
BW434,BW,8/20/2026,ORD,LAX,11:10,243,19
AU335,AU,2026-08-21,CLT,ATL,21:40,53,4
SK614,SK,2026-08-20,DEN,PHX,15:15,112,12
AU539,AU,2026-08-21,DFW,DEN,21:25,119,6
AU643,AU,2026-08-23,DEN,SFO,10:00,151,
PR179,PR,2026-08-22,SFO,BOS,09:05,359,-7
PR523,PR,2026-08-19, Ord,MSP ,17:20,66,6
AU657,AU,2026-08-19,SEA,DEN,05:20,159,14
AU487,AU,2026-08-21,ORD,DFW,18:20,122,17
SK179,SK,2026-08-18,JFK,LAX,06:35,349,4
BW244,BW,2026-08-17,ORD,EWR,13:05,129,-6
PR493,PR,2026-08-17,DEN,ORD,05:15,137,-5
AU307,AU,2026-08-22,ATL,DFW,20:40,125,34
SK325,SK,8/18/2026,ATL,ORD,09:00,95,68
AU237,AU,2026-08-21,ORD,EWR,17:10,119,50
BW312,BW,2026-08-17,DFW,ATL,07:20,129,11
AU111,AU,2026-08-19,JFK ,BOS,20:05,57,85
AU433,AU,2026-08-21,ORD,SEA,14:25,238,13
SK521,SK,2026-08-23,SLC,MSP ,16:30,162,7
PR118,PR,8/20/2026,BOS,IAD,17:15,73,-3
PR614,PR,2026-08-17,DFW,LAX,18:05,186,8
PR147,PR,2026-08-17,ORD,BOS,11:20,141,5
SK192,SK,2026-08-17,LAX,JFK,19:40,336,10
PR275,PR,2026-08-22,DEN,EWR,11:05,223,8
PR260,PR,8/19/2026,ORD,EWR,18:00,119,49
BW335,BW,8/17/2026, Atl, Clt,10:55,58,10
SK251,SK,2026-08-23,EWR,ORD,19:40,126,17
SK349,SK,8/21/2026,MIA,ATL,16:20,103,-7
SK650,SK,2026-08-21,LAX,DEN,17:25,137,15
SK277,SK,2026-08-20,PHL,ord,09:55,121,-5
AU536,AU,2026-08-18,MSP,SLC,09:50,142,-8
PR377,PR,8/18/2026,ATL,CLT,08:05,58,-4
BW119,BW,2026-08-17,IAD,BOS,10:00,87,3
PR519,PR,2026-08-22,LAX,ORD,20:05,249,7
SK576,SK,2026-08-22,DFW,LAS,16:50,150,1
SK360,SK,8/20/2026,ATL,DEN,07:55,179,11
PR566,PR,8/19/2026,LAS,ORD,19:35,204,-5
PR315,PR,2026-08-18,IAD,ATL,20:25,97,-5
BW245,BW,2026-08-18,ORD,EWR,21:00,123,22
PR544,PR,2026-08-18,ORD,dfw,09:40,141,63
SK197,SK,2026-08-19,JFK,SFO,13:05,346,28
PR578,PR,8/21/2026,MSP, Dtw,21:40,94,-5
BW356,BW,2026-08-18,ATL,LAX,08:15,269,9
PR548,PR,2026-08-22,ORD,DFW,11:35,124,5
AU375,AU,2026-08-21,IAH,ATL,10:35,110,18
AU564,AU,2026-08-22,DFW,SEA,14:55,236,0
PR130,PR,8/17/2026,ATL,BOS,19:45,160,-5
BW670,BW,2026-08-18,LAX,SFO,12:35,77,1
AU136,AU,2026-08-19,BOS,Chicago O'Hare International,16:45,136,-8
AU506,AU,8/17/2026,ORD,SLC,18:30,185,4
SK539,SK,2026-08-23,DFW , Lax,08:35,175,6
AU474,AU,2026-08-17,MSP,ORD,07:45,61,3
SK532,SK,2026-08-23,DEN,DFW,11:55,101,-8
BW427,BW,2026-08-17,SFO,ORD,11:00,264,1
SK631,SK,2026-08-17,LAS,DEN,15:05,112,5
AU592,AU,2026-08-21,SLC,DFW,08:15,162,4
BW296,BW,2026-08-20,ATL,IAD,21:05,101,7
AU497,AU,2026-08-19,ORD,LAS,08:15,213,23
AU663,AU,2026-08-18,SEA,DEN,11:05,158,37
BW522,BW,2026-08-23,DEN,DFW,09:30,106,-1
SK204,SK,8/17/2026,SFO,JFK,16:30,344,13
PR515,PR,2026-08-23,ORD,LAX,08:25,247,17
PR389,PR,8/21/2026,CLT,ATL,19:30,60,-5
BW293,BW,8/19/2026,ATL,IAD,06:05,92,11
PR695,PR,2026-08-19,den,LAS,08:35,109,9
BW630,BW,2026-08-23,PHX,LAX,11:20,83,9
PR454,PR,8/22/2026,ord,CLT,16:35,110,-7
SK724,SK,2026-08-21,SFO,LAX,05:55,81,-2
AU464,AU,8/21/2026,ORD, Msp,15:35,82,23
PR378,PR,8/19/2026,ATL,CLT,06:00,61,7
AU342,AU,2026-08-19,DEN, Atl,19:45,185,8
SK207,SK,2026-08-22,SFO,JFK,14:30,350,13
SK161,SK,2026-08-17,BOS,DFW,17:20,221,14
BW649,BW,8/20/2026,las,LAX,05:55,67,28
SK714,SK,2026-08-19,LAX,SFO,06:35,76,7
PR189,PR,2026-08-22,LAX,JFK,05:15,331,37
PR697,PR,2026-08-17,LAS,DEN,15:00,104,4
SK691,SK,2026-08-19,LAS,LAX,09:00,60,14
BW499,BW,2026-08-22,LAX,DTW,18:00,272,1
PR692,PR,2026-08-22,DEN,LAS,20:25,105,12
PR106,PR,8/23/2026,BOS, Jfk,11:20,62,43
PR611,PR,2026-08-21,DEN,DFW,20:20,100,-7
AU553,AU,2026-08-20,DFW,LAX,13:20,192,3
AU195,AU,2026-08-20,JFK,MIA,06:45,158,-2
PR190,PR,2026-08-20,LAX,JFK,11:55,336,4
BW203,BW,2026-08-23,MIA,JFK,08:55,169,133
PR122,PR,2026-08-17,IAD,BOS,20:40,79,6
SK518,SK,2026-08-21,MSP,SLC,11:35,159,4
PR671,PR,2026-08-18,DEN,SLC,05:05,84,4
PR529,PR,2026-08-20,MSP,ORD,07:40,73,4
SK166,SK,2026-08-21,BOS,DFW,08:15,226,-8
PR428,PR,2026-08-21,ATL,iah,17:30,114,n/a
SK372,SK,2026-08-22,LAX,ATL,08:15,273,-8
BW166,BW,2026-08-17,JFK,LAX,12:40,335,-5
PR410,PR,2026-08-21,ATL,LAX,17:30,278,26
AU535,AU,8/21/2026,SEA,MSP,13:15,216,11
PR587,PR,2026-08-20,LAX,DTW,09:25,270,5
AU504,AU,2026-08-21,LAS,ORD,12:45,227,-3
SK429,SK,8/19/2026,DEN,ORD,05:35,142,12
SK361,SK,2026-08-22,DEN,ATL,07:50,183,2
SK703,SK,2026-08-17,LAX, Las,12:25,63,20
AU108,AU,2026-08-20,JFK,BOS,20:35,54,1
PR414,PR,2026-08-21,LAX,ATL,13:10,268,60
PR133,PR,8/17/2026,BOS,ORD,13:10,135,13
PR303,PR,2026-08-22,PHL,CLT,13:05,92,8
PR502,PR,8/17/2026,ORD,SEA,05:00,250,17
SK664,SK,2026-08-22,SEA,DEN,11:00,159,-3
PR624,PR,2026-08-21,LAX,DFW,15:30,183,12
PR650,PR,2026-08-19,DFW,SLC,07:35,156,1
SK668,SK,2026-08-17,SEA,SLC,19:45,115,2
SK679,SK,8/17/2026,LAX,PHX,11:35,84,46
PR585,PR,2026-08-18,LAX,DTW,05:25,279,15
SK334,SK,2026-08-22,ATL,DFW,16:45,123,-8
AU623,AU,2026-08-17,DEN,LAS,09:40,111,-2
AU595,AU,2026-08-20,SLC,DFW,07:35,159,0
SK275,SK,2026-08-17,PHL,ORD,13:55,111,13
BW113,BW,2026-08-21,BOS,IAD,05:45,82,-5
AU710,AU,8/22/2026,LAX,SEA,13:40,141,6
BW358,BW,2026-08-20,ATL,LAX,10:35,272,
BW348,BW,2026-08-18,DEN,ATL,21:50,183,4
AU248,AU,8/18/2026,SFO ,EWR,06:55,355,42
AU690,AU,2026-08-22,lax, Las,12:45,60,-1
PR220,PR,2026-08-22,MIA,JFK,13:40,159,
PR685,PR,2026-08-20,PHX,DEN,08:00,110,25
SK210,SK,2026-08-17,JFK,MIA,16:25,168,-2
AU654,AU,2026-08-19,DEN,SEA,09:50,153,
BW596,BW,2026-08-23, Den,LAX,16:20,142,26
PR746,PR,2026-08-17,LAX,SFO,21:55,72,11
PR103,PR,2026-08-17,BOS,JFK,09:30,43,13
SK674,SK,2026-08-23,PHX,LAX,07:30,71,-3
BW328,BW,2026-08-17,MIA,ATL,09:05,98,-3
BW226,BW,8/17/2026,ORD,JFK,20:55,127,47
SK125,SK,2026-08-21,BOS,ATL,10:10,145,-4
BW659,BW,8/19/2026,LAX,SFO ,18:30,77,10
AU584,AU,8/20/2026,PHX ,DFW ,13:55,138,-2
BW685,BW,2026-08-22,SEA,LAX,18:00,139,7
SK495,SK,2026-08-17,SLC,ORD,06:30,177,-7
BW665,BW,2026-08-19,LAX,SFO,05:50,69,82
AU394,AU,2026-08-21,ORD,CLT,12:25,109,4
SK375,SK,2026-08-22,LAX,ATL,07:05,267,-1
BW255,BW,2026-08-23,EWR,iah,06:55,214,2
SK581,SK,2026-08-18,DFW,SLC,12:45,146,5
PR679,PR,8/19/2026,DEN,PHX,11:50,107,-2
SK121,SK,2026-08-22,IAD,bos,15:15,78,5
PR195,PR,2026-08-22,LAX,JFK,15:25,340,5
SK413,SK,2026-08-20, Mia,lax,15:35,323,29
SK283,SK,2026-08-20,ORD,PHL,21:50,123,11
PR319,PR,2026-08-17,ATL,IAD,13:50,89,-1
AU631,AU,2026-08-18,DEN,LAX,08:15,146,6
BW232,BW,2026-08-17,JFK,SEA,05:10,338,9
AU637,AU,2026-08-18,LAX,DEN,07:35,139,49
PR255,PR,2026-08-17,ORD,EWR,09:05,125,27
PR351,PR,2026-08-23,DFW,ATL,06:10,130,13
AU712,AU,2026-08-19,SEA,LAX,16:40,156,2
SK317,SK,2026-08-20,ATL,IAD,11:45,98,0
PR487,PR,2026-08-21,ORD,DEN,08:55,141,22
SK463,SK,2026-08-17,LAX,ORD,17:15,256,67
AU437,AU,8/18/2026,SEA,ORD,20:20,250,13
AU447,AU,8/23/2026, Sfo,ORD,13:30,264,-5
PR361,PR,2026-08-19,ATL,MIA,21:10,100,8
SK442,SK,2026-08-18,ORD,SFO,12:25,256,83
BW654,BW,2026-08-23,LAX,LAS,05:10,64,-4
PR306,PR,2026-08-17,CLT,PHL,16:25,91,8
SK640,SK,8/18/2026,DEN,LAX,13:30,132,-6
SK201,SK,2026-08-23,JFK,SFO,15:35,354,-3
BW272,BW,8/23/2026,ORD,PHL,20:05,113,51
PR463,PR,8/18/2026,MIA,DFW,13:30,173,1
BW579,BW,2026-08-17,DEN,PHX,10:45,101,102
PR137,PR,2026-08-23,BOS,ORD,06:35,144,165
AU231,AU,2026-08-22,ewr,ORD,06:40,127,3
SK127,SK,2026-08-17,BOS,ATL,05:10,151,-5
AU661,AU,8/23/2026,SEA, Den,17:45,158,-7
PR756,PR,2026-08-22,LAX,SEA,08:20,150,-3
PR243,PR,8/20/2026,ORD,JFK,10:30,134,1
BW642,BW,2026-08-18,SEA,PHX,13:50,162,12
PR470,PR,2026-08-19,DFW,MIA,05:50,166,68
PR253,PR,8/22/2026,EWR,ORD,05:20,127,-1
PR680,PR,2026-08-22,DEN,PHX,11:00,114,9
BW390,BW,8/21/2026,CLT ,DFW,20:10,157,7
SK185,SK,2026-08-23,LAX,JFK,14:45,330,-2
AU101,AU,2026-08-20,BOS,JFK,06:45,58,0
SK741,SK,8/23/2026,SFO,SEA,08:40,114,1
SK290,SK,2026-08-21,PHL,ATL,10:20,106,
PR452,PR,2026-08-19,ORD,CLT,12:05,100,0
AU703,AU,2026-08-20,SFO,LAX,20:45,76,5
PR764,PR,2026-08-17,SFO,SEA,05:00,112,9
PR425,PR,2026-08-22,ATL,IAH,10:20,103,-2
SK720,SK,2026-08-21,SFO,LAX,07:15,64,48
PR521,PR,2026-08-21,LAX,ORD,17:15,251,-4
SK106,SK,2026-08-19,BOS,JFK,07:05,56,-1
AU175,AU,8/19/2026,LAX ,jfk,08:40,342,13
AU272,AU,2026-08-20,ATL,PHL,19:15,115,99
PR358,PR,2026-08-22,ATL,MIA,14:40,108,-1
AU471,AU,2026-08-18,MSP,ORD,11:15,79,-6
SK313,SK,2026-08-19,IAD,ATL,09:10,94,10
BW408,BW,8/21/2026,DEN,ORD,21:30,139,1
SK603,SK,2026-08-22,DEN,SLC,17:50,76,-5
BW370,BW,2026-08-18,ATL,IAH,12:35,111,8
SK327,SK,2026-08-21,ORD,ATL,19:25,102,1
BW392,BW,2026-08-19,DFW,CLT,06:45,146,16
AU227,AU,2026-08-22,JFK,SEA,11:05,315,116
AU436,AU,8/19/2026,SEA,ORD ,19:05,242,-3
BW344,BW,2026-08-22,ATL,DEN,20:05,187,0
SK244,SK,2026-08-18,SEA,JFK,20:50,329,6
AU673,AU,2026-08-19,PHX,LAX,11:15,80,-6
SK626,SK,8/19/2026,LAS,DEN,18:50,107,4
PR273,PR,8/18/2026,EWR,DEN,19:35,234,-3
SK272,SK,2026-08-20,IAH,EWR,17:30,204,7
PR340,PR,2026-08-18,ATL,DFW,18:55,126,-2
PR489,PR,2026-08-20,ORD,DEN,08:35,149,9
AU388,AU,2026-08-20,PHX,ATL,05:20,227,6
