Source,Target,Type,Weight,avg_duration_min,ebike_share
6115.16,6732.19,Directed,10,15.1,0.4
6115.16,6741.09,Directed,16,18.3,0.44
6115.16,6741.16,Directed,15,15.8,0.2
6115.16,6785.05,Directed,11,16.2,0.27
6173.11,5183.03,Directed,12,7.2,0.17
6173.11,5906.08,Directed,9,10.2,0.11
6173.11,6056.19,Directed,6,25.3,0.17
6173.11,6060.05,Directed,5,22.1,0.4
6173.11,6253.07,Directed,11,5.5,0.36
6173.11,6359.12,Directed,16,7.6,0.31
6173.11,6594.06,Directed,17,8.4,0.24
6173.11,6711.03,Directed,14,11.5,0.29
6173.11,6732.19,Directed,6,11.4,0.0
6173.11,6917.09,Directed,6,19.0,0.33
6186.15,5431.02,Directed,6,21.6,0.17
6186.15,5734.15,Directed,7,8.2,0.71
6186.15,6000.10,Directed,9,6.0,0.33
6186.15,6056.19,Directed,13,6.0,0.31
6186.15,6462.07,Directed,7,13.8,0.57
6186.15,6594.06,Directed,4,23.4,0.25
6186.15,6711.03,Directed,8,17.1,0.38
6202.07,5160.04,Directed,4,10.7,0.5
6202.07,5183.03,Directed,5,11.8,0.4
6202.07,5428.06,Directed,4,13.0,0.75
6202.07,6088.11,Directed,5,11.8,0.2
6202.07,6115.16,Directed,8,11.0,0.12
6202.07,6253.07,Directed,5,12.9,0.2
6202.07,6594.06,Directed,18,15.6,0.33
6202.07,6650.03,Directed,8,4.6,0.5
6202.07,6711.03,Directed,9,20.6,0.44
6202.07,6741.09,Directed,11,14.7,0.55
6202.07,6741.16,Directed,5,18.2,0.4
6202.07,6917.09,Directed,17,12.5,0.29
6253.07,5431.02,Directed,12,7.0,0.33
6253.07,5906.08,Directed,10,13.7,0.4
6253.07,6088.11,Directed,7,4.0,0.57
6253.07,6173.11,Directed,11,6.1,0.45
6253.07,6202.07,Directed,8,11.2,0.38
6253.07,6419.19,Directed,3,8.5,0.33
6253.07,6594.06,Directed,11,6.0,0.18
6253.07,6711.03,Directed,9,11.8,0.22
6253.07,6732.19,Directed,9,8.8,0.44
6359.12,5160.04,Directed,6,8.6,0.5
6359.12,5307.10,Directed,9,12.9,0.33
6359.12,5891.11,Directed,3,9.0,0.33
6359.12,6088.11,Directed,10,7.0,0.5
6359.12,6115.16,Directed,11,11.5,0.55
6359.12,6173.11,Directed,15,7.8,0.4
6359.12,6732.19,Directed,18,7.9,0.28
6419.19,5160.04,Directed,11,12.1,0.18
6419.19,5307.10,Directed,8,15.0,0.12
6419.19,5734.15,Directed,8,13.7,0.12
6419.19,5906.08,Directed,12,17.9,0.42
6419.19,6056.19,Directed,8,18.4,0.12
6419.19,6115.16,Directed,10,16.2,0.3
6419.19,6462.07,Directed,11,9.6,0.45
6419.19,6594.06,Directed,17,6.4,0.35
6419.19,6711.03,Directed,17,8.3,0.41
6419.19,6732.19,Directed,14,4.4,0.29
6419.19,6785.05,Directed,12,6.0,0.5
6462.07,5428.06,Directed,7,19.2,0.57
6462.07,5906.08,Directed,7,18.1,0.29
6462.07,6000.10,Directed,9,14.2,0.56
6462.07,6056.19,Directed,5,10.5,0.6
6462.07,6186.15,Directed,4,15.9,0.25
6462.07,6419.19,Directed,14,9.1,0.36
6462.07,6594.06,Directed,5,10.2,0.2
6462.07,6650.03,Directed,5,20.3,0.4
6462.07,6711.03,Directed,10,4.4,0.1
6462.07,6732.19,Directed,6,8.9,0.33
6594.06,5160.04,Directed,9,11.4,0.11
6594.06,5183.03,Directed,12,13.1,0.25
6594.06,5431.02,Directed,10,4.4,0.4
6594.06,6173.11,Directed,10,7.4,0.2
6594.06,6202.07,Directed,7,14.2,0.43
6594.06,6253.07,Directed,20,5.8,0.4
6594.06,6419.19,Directed,9,5.7,0.33
6594.06,6462.07,Directed,12,10.1,0.25
6594.06,6679.12,Directed,3,18.7,0.33
6594.06,6711.03,Directed,15,8.2,0.4
6594.06,6732.19,Directed,16,6.6,0.25
6594.06,6785.05,Directed,10,9.0,0.2
6594.06,6917.09,Directed,3,28.5,0.0
6650.03,5183.03,Directed,5,7.4,0.2
6650.03,5906.08,Directed,9,7.7,0.22
6650.03,6060.05,Directed,6,16.8,0.17
6650.03,6202.07,Directed,7,5.8,0.57
6650.03,6462.07,Directed,10,22.5,0.2
6650.03,6679.12,Directed,12,8.9,0.33
6650.03,6732.19,Directed,6,21.5,0.0
6650.03,6741.09,Directed,6,13.5,0.0
6650.03,6881.14,Directed,10,19.9,0.2
6679.12,5183.03,Directed,8,10.0,0.62
6679.12,5428.06,Directed,11,9.1,0.45
6679.12,5906.08,Directed,21,8.3,0.33
6679.12,6060.05,Directed,4,13.6,0.25
6679.12,6088.11,Directed,4,16.6,0.5
6679.12,6594.06,Directed,3,27.6,0.0
6679.12,6650.03,Directed,7,7.6,0.43
6679.12,6741.09,Directed,3,13.0,0.33
6679.12,6917.09,Directed,12,10.1,0.5
6711.03,5183.03,Directed,13,16.7,0.23
6711.03,5431.02,Directed,12,8.2,0.58
6711.03,5734.15,Directed,13,12.3,0.31
6711.03,5891.11,Directed,7,14.9,0.14
6711.03,6000.10,Directed,6,16.5,0.33
6711.03,6173.11,Directed,11,12.4,0.18
6711.03,6186.15,Directed,10,16.3,0.3
6711.03,6202.07,Directed,5,22.5,0.2
6711.03,6253.07,Directed,8,12.4,0.12
6711.03,6419.19,Directed,18,8.6,0.28
6711.03,6462.07,Directed,12,5.5,0.17
6711.03,6594.06,Directed,15,8.5,0.33
6711.03,6650.03,Directed,3,16.9,0.33
6711.03,6741.16,Directed,24,3.0,0.25
6711.03,6785.05,Directed,6,6.8,0.17
6732.19,5160.04,Directed,5,12.1,0.6
6732.19,5307.10,Directed,9,13.5,0.22
6732.19,5428.06,Directed,4,17.9,0.75
6732.19,5431.02,Directed,10,7.1,0.2
6732.19,6115.16,Directed,14,14.7,0.43
6732.19,6173.11,Directed,13,11.9,0.31
6732.19,6253.07,Directed,13,10.6,0.38
6732.19,6359.12,Directed,12,7.3,0.33
6732.19,6419.19,Directed,25,4.3,0.2
6732.19,6462.07,Directed,9,8.8,0.33
6732.19,6594.06,Directed,22,6.0,0.36
6732.19,6650.03,Directed,6,20.5,0.17
6732.19,6785.05,Directed,12,4.5,0.33
6741.09,5183.03,Directed,7,18.5,0.57
6741.09,6060.05,Directed,6,7.1,0.17
6741.09,6115.16,Directed,5,18.4,0.2
6741.09,6202.07,Directed,7,13.4,0.29
6741.09,6650.03,Directed,5,14.8,0.2
6741.09,6679.12,Directed,5,11.8,0.0
6741.09,6881.14,Directed,10,10.5,0.3
6741.09,6917.09,Directed,9,4.4,0.22
6741.16,5431.02,Directed,5,7.5,0.0
6741.16,5734.15,Directed,6,10.6,0.5
6741.16,6000.10,Directed,5,16.3,0.2
6741.16,6056.19,Directed,9,12.8,0.67
6741.16,6115.16,Directed,4,14.4,0.75
6741.16,6202.07,Directed,5,21.9,0.4
6741.16,6711.03,Directed,20,3.1,0.3
6741.16,6785.05,Directed,8,6.9,0.25
6785.05,5431.02,Directed,5,8.0,0.2
6785.05,5734.15,Directed,8,11.4,0.0
6785.05,5906.08,Directed,4,19.7,0.25
6785.05,6000.10,Directed,3,17.8,0.33
6785.05,6115.16,Directed,3,16.8,0.0
6785.05,6419.19,Directed,8,5.2,0.38
6785.05,6594.06,Directed,11,7.1,0.36
6785.05,6650.03,Directed,3,22.5,0.0
6785.05,6711.03,Directed,17,6.6,0.18
6785.05,6732.19,Directed,15,4.9,0.4
6785.05,6741.16,Directed,11,5.3,0.27
6881.14,5183.03,Directed,6,22.3,0.33
6881.14,5428.06,Directed,9,22.4,0.11
6881.14,6060.05,Directed,4,7.7,0.25
6881.14,6741.09,Directed,6,8.4,0.33
6881.14,6917.09,Directed,7,10.4,0.57
6917.09,5183.03,Directed,12,16.0,0.5
6917.09,5307.10,Directed,6,17.6,0.5
6917.09,5906.08,Directed,12,16.4,0.0
6917.09,6060.05,Directed,12,7.1,0.33
6917.09,6173.11,Directed,7,18.4,0.43
6917.09,6202.07,Directed,7,13.0,0.14
6917.09,6679.12,Directed,8,10.6,0.25
6917.09,6741.09,Directed,18,4.7,0.28
6917.09,6741.16,Directed,4,28.9,0.5
6917.09,6881.14,Directed,8,10.6,0.12
