station_name,snapshot_time,bikes_available,docks_available,capacity
Broadway & W 41 St,2026-08-17T03:59:00,18,27,45
W 33 St & 7 Ave,2026-08-17T03:59:00,24,26,50
6 Ave & W 33 St,2026-08-17T03:59:00,21,14,35
E 43 St & Vanderbilt Ave,2026-08-17T03:59:00,16,24,40
W 45 St & 6 Ave,2026-08-17T03:59:00,14,21,35
W 21 St and 6 Ave,2026-08-17T03:59:00,21,24,
8 Ave & W 31 St ,2026-08-17T03:59:00,23,27,50
W 20 St & 11 Ave,2026-08-17T03:59:00,16,14,
W 26 St & 8 Ave,2026-08-17T03:59:00,15,20,35
W 17 St & 8 Ave,2026-08-17T03:59:00,21,19,40
9 Ave & W 22 St,2026-08-17T03:59:00,13,17,30
broadway & e 14 st,2026-08-17T03:59:00,29,21,50
Lafayette St & E 8 St,2026-08-17T03:59:00,26,19,45
E 17 St & Broadway,2026-08-17T03:59:00,22,18,40
university pl & e 14 st,2026-08-17T03:59:00,18,17,35
carmine st & 6 ave,2026-08-17T03:59:00,16,14,30
Christopher St & Greenwich St,2026-08-17T03:59:00,16,14,30
E 7 St & Avenue A,2026-08-17T03:59:00,16,19,35
West St & Chambers St,2026-08-17T03:59:00,20,25,45
South End Ave & Liberty St,2026-08-17T03:59:00,16,19,35
vesey pl & river terrace,2026-08-17T03:59:00,22,18,40
Cleveland Pl & Spring St,2026-08-17T03:59:00,18,17,35
Broadway & Battery Pl,2026-08-17T03:59:00,20,20,40
1 Ave & E 68 St,2026-08-17T03:59:00,23,17,40
E 72 St & York Ave,2026-08-17T03:59:00,19,16,35
Lexington Ave & E 63 St,2026-08-17T03:59:00,15,20,35
E 75 St & 3 Ave,2026-08-17T03:59:00,17,13,30
W 41 St & 8 Ave,2026-08-17T04:59:00,27,28,55
Pershing Square North,2026-08-17T04:59:00,36,24,60
E 47 St & Park Ave ,2026-08-17T04:59:00,22,18,40
Broadway & W 41 St,2026-08-17T04:59:00,18,27,45
W 33 St and 7 Ave,2026-08-17T04:59:00,24,26,
6 Ave & W 33 St,2026-08-17T04:59:00,22,13,
E 43 St & Vanderbilt Ave,2026-08-17T04:59:00,15,25,40
W 45 St & 6 Ave,2026-08-17T04:59:00,14,21,35
W 21 St & 6 Ave ,2026-08-17T04:59:00,20,25,45
8 ave & w 31 st,2026-08-17T04:59:00,24,26,50
W 20 St & 11 Ave ,2026-08-17T04:59:00,16,14,30
w 26 st & 8 ave,2026-08-17T04:59:00,15,20,35
W 17 St & 8 Ave ,2026-08-17T04:59:00,21,19,40
9 Ave & W 22 St,2026-08-17T04:59:00,14,16,30
Broadway & E 14 St,2026-08-17T04:59:00,28,22,50
Lafayette St & E 8 St,2026-08-17T04:59:00,26,19,45
E 17 St & Broadway,2026-08-17T04:59:00,22,18,40
University Pl & E 14 St,2026-08-17T04:59:00,18,17,35
Carmine St & 6 Ave ,2026-08-17T04:59:00,16,14,
Christopher St & Greenwich St,2026-08-17T04:59:00,16,14,30
E 7 St & Avenue A,2026-08-17T04:59:00,17,18,35
West  St & Chambers St,2026-08-17T04:59:00,20,25,45
South End Ave & Liberty St,2026-08-17T04:59:00,16,19,35
Vesey Pl & River Terrace,2026-08-17T04:59:00,22,18,40
Cleveland Pl & Spring St,2026-08-17T04:59:00,19,16,35
Broadway & Battery Pl,2026-08-17T04:59:00,19,21,40
1 Ave & E 68 St,2026-08-17T04:59:00,23,17,40
E 72 St & York Ave,2026-08-17T04:59:00,19,16,35
Lexington Ave & E 63 St,2026-08-17T04:59:00,16,19,35
E 75 St & 3 Ave,2026-08-17T04:59:00,16,14,30
W 41 St & 8 Ave,2026-08-17T05:59:00,27,28,55
Pershing Square North,2026-08-17T05:59:00,36,24,60
E 47 St & Park Ave,2026-08-17T05:59:00,22,18,
Broadway & W 41 St,2026-08-17T05:59:00,18,27,45
W 33 St & 7 Ave,2026-08-17T05:59:00,24,26,50
6 Ave & W 33 St,2026-08-17T05:59:00,24,11,35
E 43 St & Vanderbilt Ave,2026-08-17T05:59:00,16,24,40
W 45 St & 6 Ave,2026-08-17T05:59:00,15,20,
w 21 st & 6 ave,2026-08-17T05:59:00,20,25,45
8 Ave & W 31 St,2026-08-17T05:59:00,23,27,50
W 20 St & 11 Ave,2026-08-17T05:59:00,17,13,30
W 26 St & 8 Ave,2026-08-17T05:59:00,13,22,35
W 17 St & 8 Ave,2026-08-17T05:59:00,20,20,40
9 Ave & W 22 St ,2026-08-17T05:59:00,13,17,
Broadway & E 14 St,2026-08-17T05:59:00,27,23,50
Lafayette St & E 8 St,2026-08-17T05:59:00,26,19,45
E 17 St & Broadway,2026-08-17T05:59:00,21,19,40
University Pl & E 14 St,2026-08-17T05:59:00,19,16,35
Carmine St & 6 Ave,2026-08-17T05:59:00,16,14,30
Christopher St & Greenwich St,2026-08-17T05:59:00,16,14,30
E 7 St & Avenue A,2026-08-17T05:59:00,17,18,35
West St & Chambers St,2026-08-17T05:59:00,20,25,45
South End Ave & Liberty St,2026-08-17T05:59:00,16,19,35
Vesey Pl & River Terrace,2026-08-17T05:59:00,22,18,
Cleveland Pl & Spring St,2026-08-17T05:59:00,20,15,35
Broadway & Battery Pl,2026-08-17T05:59:00,18,22,40
1 Ave & E 68 St,2026-08-17T05:59:00,24,16,40
E 72 St & York Ave,2026-08-17T05:59:00,19,16,35
Lexington Ave & E 63 St,2026-08-17T05:59:00,15,20,35
E 75 St & 3 Ave,2026-08-17T05:59:00,16,14,30
W 41 St & 8 Ave,2026-08-17T06:59:00,36,19,
Pershing Square North,2026-08-17T06:59:00,45,15,
E 47 St & Park Ave,2026-08-17T06:59:00,28,12,40
Broadway & W 41 St,2026-08-17T06:59:00,25,20,45
W 33 St & 7 Ave,2026-08-17T06:59:00,30,20,50
6 Ave & W 33 St,2026-08-17T06:59:00,30,5,
E 43 St & Vanderbilt Ave,2026-08-17T06:59:00,23,17,40
W 45 St & 6 Ave,2026-08-17T06:59:00,20,15,35
W 21 St & 6 Ave,2026-08-17T06:59:00,19,26,45
8 Ave & W 31 St,2026-08-17T06:59:00,23,27,50
W 20 St & 11 Ave,2026-08-17T06:59:00,16,14,30
W 26 St & 8 Ave,2026-08-17T06:59:00,11,24,
W 17 St & 8 Ave,2026-08-17T06:59:00,20,20,40
9 Ave & W 22 St,2026-08-17T06:59:00,13,17,30
Broadway & E 14 St,2026-08-17T06:59:00,16,34,50
Lafayette St & E 8 St,2026-08-17T06:59:00,16,29,45
E 17 St & Broadway,2026-08-17T06:59:00,15,25,40
University Pl & E 14 St,2026-08-17T06:59:00,11,24,35
Carmine St & 6 Ave,2026-08-17T06:59:00,9,21,30
Christopher St & Greenwich St,2026-08-17T06:59:00,10,20,30
E 7 St & Avenue A,2026-08-17T06:59:00,10,25,35
West St & Chambers St,2026-08-17T06:59:00,25,20,45
South End Ave & Liberty St,2026-08-17T06:59:00,18,17,35
Vesey Pl & River Terrace,2026-08-17T06:59:00,27,13,40
cleveland pl & spring st,2026-08-17T06:59:00,26,9,35
Broadway & Battery Pl,2026-08-17T06:59:00,20,20,
1 Ave & E 68 St,2026-08-17T06:59:00,18,22,40
E 72 St & York Ave,2026-08-17T06:59:00,14,21,35
Lexington Ave & E 63 St,2026-08-17T06:59:00,9,26,35
E 75 St & 3 Ave,2026-08-17T06:59:00,13,17,
W 41 St & 8 Ave,2026-08-17T07:59:00,55,0,
Pershing  Square North,2026-08-17T07:59:00,60,0,60
E 47 St & Park Ave,2026-08-17T07:59:00,40,0,40
Broadway & W 41 St,2026-08-17T07:59:00,44,1,45
W 33 St & 7 Ave,2026-08-17T07:59:00,47,3,50
6 Ave & W 33 St,2026-08-17T07:59:00,35,0,35
E 43 St & Vanderbilt Ave ,2026-08-17T07:59:00,38,2,40
W 45 St & 6 Ave,2026-08-17T07:59:00,35,0,35
w 21 st & 6 ave,2026-08-17T07:59:00,15,30,45
8 Ave & W 31 St,2026-08-17T07:59:00,23,27,50
W 20 St & 11 Ave,2026-08-17T07:59:00,14,16,30
W 26 St & 8 Ave,2026-08-17T07:59:00,7,28,35
W 17 St & 8 Ave,2026-08-17T07:59:00,20,20,40
9 Ave & W 22 St ,2026-08-17T07:59:00,14,16,30
Broadway & E 14 St,2026-08-17T07:59:00,0,50,50
Lafayette St & E 8 St,2026-08-17T07:59:00,0,45,45
E 17 St & Broadway,2026-08-17T07:59:00,0,40,40
University Pl & E 14 St,2026-08-17T07:59:00,0,35,35
Carmine St & 6 Ave,2026-08-17T07:59:00,0,30,
Christopher St & Greenwich St,2026-08-17T07:59:00,0,30,30
E 7 St & Avenue A,2026-08-17T07:59:00,0,35,35
West St & Chambers St,2026-08-17T07:59:00,40,5,45
South End Ave & Liberty St,2026-08-17T07:59:00,23,12,
Vesey Pl & River Terrace,2026-08-17T07:59:00,37,3,40
Cleveland  Pl & Spring St,2026-08-17T07:59:00,35,0,35
Broadway & Battery Pl,2026-08-17T07:59:00,25,15,40
1 Ave & E 68 St,2026-08-17T07:59:00,3,37,40
E 72 St & York Ave,2026-08-17T07:59:00,2,33,35
Lexington Ave & E 63 St,2026-08-17T07:59:00,0,35,35
E 75 St & 3 Ave,2026-08-17T07:59:00,5,25,30
W 41 St & 8 Ave,2026-08-17T08:59:00,55,0,55
Pershing Square North,2026-08-17T08:59:00,60,0,60
E 47 St & Park Ave,2026-08-17T08:59:00,40,0,40
Broadway & W 41 St,2026-08-17T08:59:00,45,0,45
W 33 St & 7 Ave,2026-08-17T08:59:00,50,0,
6 Ave & W 33 St,2026-08-17T08:59:00,35,0,35
E 43 St & Vanderbilt Ave,2026-08-17T08:59:00,40,0,40
W 45 St & 6 Ave,2026-08-17T08:59:00,35,0,35
W 21 St & 6 Ave,2026-08-17T08:59:00,13,32,45
8 Ave & W 31 St,2026-08-17T08:59:00,24,26,50
W 20 St & 11 Ave,2026-08-17T08:59:00,10,20,30
W 26 St & 8 Ave ,2026-08-17T08:59:00,2,33,35
W 17 St & 8 Ave ,2026-08-17T08:59:00,22,18,40
9 Ave & W 22 St,2026-08-17T08:59:00,16,14,
Broadway & E 14 St,2026-08-17T08:59:00,0,50,50
Lafayette St & E 8 St,2026-08-17T08:59:00,0,45,45
E 17 St & Broadway,2026-08-17T08:59:00,0,40,40
University Pl & E 14 St ,2026-08-17T08:59:00,0,35,35
Carmine St & 6 Ave,2026-08-17T08:59:00,0,30,30
Christopher St & Greenwich St,2026-08-17T08:59:00,0,30,30
E 7 St & Avenue A,2026-08-17T08:59:00,0,35,35
West St & Chambers St,2026-08-17T08:59:00,45,0,45
South End Ave & Liberty St,2026-08-17T08:59:00,29,6,35
Vesey Pl & River Terrace,2026-08-17T08:59:00,40,0,40
Cleveland Pl & Spring St,2026-08-17T08:59:00,35,0,35
Broadway & Battery Pl,2026-08-17T08:59:00,33,7,40
1 Ave & E 68 St,2026-08-17T08:59:00,0,40,40
E 72 St & York Ave,2026-08-17T08:59:00,0,35,35
Lexington Ave & E 63 St,2026-08-17T08:59:00,0,35,35
E 75 St & 3 Ave,2026-08-17T08:59:00,0,30,30
W 41 St & 8 Ave,2026-08-17T09:59:00,55,0,55
Pershing  Square North,2026-08-17T09:59:00,60,0,60
E 47 St & Park Ave,2026-08-17T09:59:00,40,0,40
Broadway & W 41 St,2026-08-17T09:59:00,45,0,45
W 33 St & 7 Ave,2026-08-17T09:59:00,50,0,50
6 Ave & W 33 St,2026-08-17T09:59:00,35,0,35
E 43 St & Vanderbilt Ave,2026-08-17T09:59:00,40,0,40
W 45 St & 6 Ave,2026-08-17T09:59:00,35,0,35
W 21 St & 6 Ave,2026-08-17T09:59:00,10,35,
8 Ave & W 31 St,2026-08-17T09:59:00,25,25,50
w 20 st & 11 ave,2026-08-17T09:59:00,10,20,30
W 26 St & 8 Ave,2026-08-17T09:59:00,0,35,35
W 17 St & 8 Ave,2026-08-17T09:59:00,23,17,40
9 Ave & W 22 St,2026-08-17T09:59:00,18,12,30
Broadway & E 14 St,2026-08-17T09:59:00,0,50,50
Lafayette St & E 8 St,2026-08-17T09:59:00,0,45,45
E 17 St & Broadway,2026-08-17T09:59:00,0,40,40
University Pl & E 14 St,2026-08-17T09:59:00,0,35,35
Carmine St & 6 Ave,2026-08-17T09:59:00,0,30,30
Christopher St & Greenwich St,2026-08-17T09:59:00,0,30,30
E 7 St & Avenue A,2026-08-17T09:59:00,0,35,35
West St & Chambers St,2026-08-17T09:59:00,45,0,45
South End Ave & Liberty St,2026-08-17T09:59:00,35,0,35
Vesey Pl & River Terrace,2026-08-17T09:59:00,40,0,
Cleveland Pl & Spring St,2026-08-17T09:59:00,35,0,35
broadway & battery pl,2026-08-17T09:59:00,37,3,40
1 Ave & E 68 St,2026-08-17T09:59:00,0,40,40
E 72 St & York Ave,2026-08-17T09:59:00,0,35,35
Lexington Ave & E 63 St,2026-08-17T09:59:00,0,35,35
E 75 St & 3 Ave ,2026-08-17T09:59:00,0,30,30
W 41 St & 8 Ave,2026-08-17T10:59:00,55,0,55
Pershing Square North,2026-08-17T10:59:00,59,1,60
E 47 St & Park Ave,2026-08-17T10:59:00,39,1,40
Broadway & W 41 St,2026-08-17T10:59:00,45,0,45
W 33 St & 7 Ave,2026-08-17T10:59:00,49,1,50
6 Ave & W 33 St,2026-08-17T10:59:00,35,0,35
E 43 St & Vanderbilt Ave,2026-08-17T10:59:00,40,0,40
W 45 St & 6 Ave,2026-08-17T10:59:00,35,0,35
W 21 St & 6 Ave,2026-08-17T10:59:00,10,35,45
8 Ave & W 31 St,2026-08-17T10:59:00,24,26,50
W 20 St & 11 Ave,2026-08-17T10:59:00,10,20,30
W 26 St & 8 Ave,2026-08-17T10:59:00,0,35,35
W 17 St & 8 Ave,2026-08-17T10:59:00,23,17,40
9 Ave & W 22 St,2026-08-17T10:59:00,18,12,30
Broadway & E 14 St,2026-08-17T10:59:00,0,50,50
Lafayette St & E 8 St,2026-08-17T10:59:00,0,45,45
E 17 St & Broadway,2026-08-17T10:59:00,0,40,40
University Pl & E 14 St,2026-08-17T10:59:00,1,34,35
Carmine St & 6 Ave,2026-08-17T10:59:00,0,30,30
Christopher St & Greenwich St,2026-08-17T10:59:00,1,29,30
E 7 St & Avenue A ,2026-08-17T10:59:00,0,35,35
West St & Chambers St,2026-08-17T10:59:00,45,0,45
South End Ave & Liberty St,2026-08-17T10:59:00,35,0,35
vesey pl & river terrace,2026-08-17T10:59:00,40,0,40
Cleveland Pl & Spring St,2026-08-17T10:59:00,34,1,35
Broadway & Battery Pl,2026-08-17T10:59:00,38,2,40
1 Ave & E 68 St,2026-08-17T10:59:00,0,40,40
E 72 St & York Ave,2026-08-17T10:59:00,0,35,35
Lexington Ave & E 63 St,2026-08-17T10:59:00,0,35,35
e 75 st & 3 ave,2026-08-17T10:59:00,1,29,30
W 41 St & 8 Ave,2026-08-17T11:59:00,55,0,55
pershing square north,2026-08-17T11:59:00,60,0,60
E 47 St & Park Ave,2026-08-17T11:59:00,39,1,40
Broadway & W 41 St,2026-08-17T11:59:00,45,0,
W 33 St & 7 Ave,2026-08-17T11:59:00,49,1,50
6 Ave & W 33 St,2026-08-17T11:59:00,35,0,35
E 43 St & Vanderbilt Ave,2026-08-17T11:59:00,39,1,
W 45 St & 6 Ave,2026-08-17T11:59:00,34,1,35
W 21 St & 6 Ave,2026-08-17T11:59:00,11,34,45
8 Ave & W 31 St,2026-08-17T11:59:00,24,26,50
W 20 St & 11 Ave,2026-08-17T11:59:00,10,20,30
W 26 St & 8 Ave,2026-08-17T11:59:00,0,35,35
W 17 St & 8 Ave,2026-08-17T11:59:00,22,18,40
9 Ave & W 22 St,2026-08-17T11:59:00,17,13,30
Broadway & E 14 St,2026-08-17T11:59:00,0,50,50
Lafayette St & E 8 St,2026-08-17T11:59:00,0,45,45
E 17 St & Broadway,2026-08-17T11:59:00,1,39,40
University Pl & E 14 St ,2026-08-17T11:59:00,0,35,35
Carmine St & 6 Ave,2026-08-17T11:59:00,0,30,30
Christopher St and Greenwich St,2026-08-17T11:59:00,1,29,30
E 7 St & Avenue A,2026-08-17T11:59:00,0,35,35
West St & Chambers St,2026-08-17T11:59:00,45,0,45
South End Ave & Liberty St,2026-08-17T11:59:00,35,0,35
Vesey Pl & River Terrace,2026-08-17T11:59:00,39,1,40
Cleveland Pl & Spring St,2026-08-17T11:59:00,35,0,35
Broadway & Battery Pl,2026-08-17T11:59:00,38,2,40
1 Ave & E 68 St,2026-08-17T11:59:00,1,39,40
E 72 St & York Ave,2026-08-17T11:59:00,1,34,35
Lexington Ave & E 63 St,2026-08-17T11:59:00,0,35,35
E 75 St & 3 Ave,2026-08-17T11:59:00,1,29,30
W 41 St & 8 Ave,2026-08-17T12:59:00,55,0,55
Pershing Square North,2026-08-17T12:59:00,60,0,60
E 47 St & Park Ave,2026-08-17T12:59:00,39,1,40
Broadway & W 41 St,2026-08-17T12:59:00,45,0,45
W 33 St & 7 Ave,2026-08-17T12:59:00,50,0,50
6 ave & w 33 st,2026-08-17T12:59:00,34,1,35
E 43 St & Vanderbilt Ave,2026-08-17T12:59:00,40,0,40
W 45 St & 6 Ave ,2026-08-17T12:59:00,35,0,35
W 21 St & 6 Ave,2026-08-17T12:59:00,12,33,45
8 Ave & W 31 St,2026-08-17T12:59:00,23,27,50
W 20 St & 11 Ave,2026-08-17T12:59:00,11,19,30
W 26 St & 8 Ave,2026-08-17T12:59:00,0,35,35
W 17 St & 8 Ave,2026-08-17T12:59:00,23,17,40
9 Ave & W 22 St,2026-08-17T12:59:00,18,12,30
Broadway & E 14 St,2026-08-17T12:59:00,0,50,50
Lafayette St & E 8 St,2026-08-17T12:59:00,1,44,45
E 17 St & Broadway,2026-08-17T12:59:00,0,40,40
University Pl & E 14 St,2026-08-17T12:59:00,1,34,35
Carmine St & 6 Ave,2026-08-17T12:59:00,1,29,30
Christopher St & Greenwich St,2026-08-17T12:59:00,1,29,30
E 7 St & Avenue A,2026-08-17T12:59:00,1,34,35
West St & Chambers St,2026-08-17T12:59:00,45,0,45
South End Ave & Liberty St,2026-08-17T12:59:00,35,0,35
Vesey Pl & River Terrace,2026-08-17T12:59:00,40,0,40
Cleveland Pl & Spring St,2026-08-17T12:59:00,35,0,35
Broadway & Battery Pl,2026-08-17T12:59:00,39,1,40
1 Ave & E 68 St,2026-08-17T12:59:00,2,38,40
E 72 St & York Ave,2026-08-17T12:59:00,0,35,35
Lexington Ave & E 63 St,2026-08-17T12:59:00,0,35,35
E 75 St & 3 Ave,2026-08-17T12:59:00,1,29,30
W 41 St & 8 Ave,2026-08-17T13:59:00,55,0,55
Pershing Square North,2026-08-17T13:59:00,59,1,60
E 47 St & Park Ave,2026-08-17T13:59:00,40,0,40
Broadway & W 41 St,2026-08-17T13:59:00,44,1,45
W 33 St & 7 Ave,2026-08-17T13:59:00,50,0,50
6 Ave & W 33 St,2026-08-17T13:59:00,35,0,
E 43 St & Vanderbilt Ave,2026-08-17T13:59:00,40,0,40
W 45 St & 6 Ave,2026-08-17T13:59:00,33,2,35
W 21 St & 6 Ave,2026-08-17T13:59:00,13,32,
8 Ave & W 31 St,2026-08-17T13:59:00,24,26,50
W 20 St & 11 Ave,2026-08-17T13:59:00,10,20,30
W 26 St & 8 Ave,2026-08-17T13:59:00,0,35,35
W 17 St & 8 Ave,2026-08-17T13:59:00,23,17,40
9 Ave & W 22 St,2026-08-17T13:59:00,18,12,30
Broadway & E 14 St,2026-08-17T13:59:00,0,50,50
Lafayette St & E 8 St,2026-08-17T13:59:00,1,44,
E 17 St & Broadway,2026-08-17T13:59:00,1,39,40
University Pl & E 14 St,2026-08-17T13:59:00,1,34,35
Carmine St & 6 Ave,2026-08-17T13:59:00,0,30,30
Christopher St & Greenwich St,2026-08-17T13:59:00,0,30,30
E 7 St & Avenue A,2026-08-17T13:59:00,2,33,35
West St & Chambers St,2026-08-17T13:59:00,44,1,
South End Ave & Liberty St,2026-08-17T13:59:00,35,0,35
Vesey Pl & River Terrace ,2026-08-17T13:59:00,40,0,40
Cleveland Pl & Spring St,2026-08-17T13:59:00,35,0,35
Broadway & Battery Pl,2026-08-17T13:59:00,38,2,40
1 Ave & E 68 St,2026-08-17T13:59:00,0,40,40
E 72 St & York Ave,2026-08-17T13:59:00,1,34,35
Lexington Ave & E 63 St,2026-08-17T13:59:00,0,35,35
E 75 St & 3 Ave,2026-08-17T13:59:00,1,29,30
W 41 St & 8 Ave,2026-08-17T14:59:00,55,0,
Pershing Square North,2026-08-17T14:59:00,59,1,60
E 47 St & Park Ave,2026-08-17T14:59:00,40,0,40
Broadway & W 41 St,2026-08-17T14:59:00,45,0,45
W 33 St & 7 Ave ,2026-08-17T14:59:00,50,0,50
6 Ave & W 33 St,2026-08-17T14:59:00,35,0,35
E 43 St & Vanderbilt Ave,2026-08-17T14:59:00,38,2,40
W 45 St & 6 Ave,2026-08-17T14:59:00,32,3,35
W 21 St & 6 Ave,2026-08-17T14:59:00,12,33,45
8 Ave & W 31 St,2026-08-17T14:59:00,23,27,50
w 20 st & 11 ave,2026-08-17T14:59:00,9,21,30
W 26 St & 8 Ave,2026-08-17T14:59:00,0,35,35
W 17 St & 8 Ave,2026-08-17T14:59:00,23,17,40
9 Ave & W 22 St,2026-08-17T14:59:00,18,12,30
Broadway & E 14 St,2026-08-17T14:59:00,0,50,50
Lafayette St & E 8 St,2026-08-17T14:59:00,1,44,45
E 17 St & Broadway,2026-08-17T14:59:00,1,39,40
University Pl & E 14 St,2026-08-17T14:59:00,2,33,35
Carmine St & 6 Ave,2026-08-17T14:59:00,0,30,30
Christopher St & Greenwich St,2026-08-17T14:59:00,2,28,30
E 7 St & Avenue A,2026-08-17T14:59:00,2,33,35
West St and Chambers St,2026-08-17T14:59:00,44,1,45
South End Ave & Liberty St,2026-08-17T14:59:00,35,0,35
Vesey Pl & River Terrace,2026-08-17T14:59:00,39,1,40
Cleveland Pl & Spring St,2026-08-17T14:59:00,34,1,
Broadway & Battery Pl,2026-08-17T14:59:00,39,1,40
