ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
R90400022,classic_bike,2026-08-17 06:44:55,2026-08-17 06:49:51,University Pl & E 14 St,5183.03,W 21 St & 6 Ave,6173.11,40.7349,-73.9922,40.7417,-73.9942,member
R90400021,classic_bike,2026-08-17 06:45:13,2026-08-17 07:05:04,Lafayette St & E 8 St,5906.08,W 41 St & 8 Ave,6419.19,40.7302,-73.9911,40.7562,-73.9901,member
R90400012,classic_bike,2026-08-17 06:47:32,2026-08-17 06:58:03,E 17 St & Broadway,5307.10,8 ave & w 31 st,475,40.7371,-73.9902,40.7505,-73.9947,member
R90400028,electric_bike,2026-08-17 06:47:37,2026-08-17 07:05:44,E 75 St & 3 Ave,6186.15,Pershing Square North ,6711.03,40.7714,-73.9573,40.7518,-73.9778,casual
R90400016,classic_bike,2026-08-17 06:50:38,2026-08-17 06:55:59,University Pl & E 14 St,5183.03,Broadway & E 14 St ,6115.16,40.7349,-73.9922,40.7345,-73.9906,casual
R90400020,classic_bike,2026-08-17 06:55:03,2026-08-17 07:16:48,E 7 St & Avenue A,5428.06,W 41 St & 8 Ave ,254,40.7263,-73.9838,40.7562,-73.9901,member
R90400024,electric_bike,2026-08-17 06:56:03,2026-08-17 07:04:52,Pershing Square North,6711.03,6 Ave & W 33 St,5431.02,40.7518,-73.9778,40.7490,-73.9880,member
R90400067,electric_bike,2026-08-17 07:01:05,2026-08-17 07:18:29,Broadway  & E 14 St,6115.16,Vesey Pl & River Terrace,6741.09,40.7345,-73.9906,40.7153,-74.0163,member
R90400079,classic_bike,2026-08-17 07:06:05,2026-08-17 07:20:59,Christopher St & Greenwich St,6202.07,West St & Chambers St,6917.09,40.7329,-74.0071,40.7175,-74.0132,member
R90400071,classic_bike,2026-08-17 07:09:41,2026-08-17 07:13:22,W 45 St & 6 Ave,6785.05,E 43 St & Vanderbilt Ave,6741.16,40.7566,-73.9826,40.7530,-73.9774,casual
R90400032,classic_bike,2026-08-17 07:11:31,2026-08-17 07:18:53,E 43 St & Vanderbilt Ave,6741.16,6 Ave & W 33 St,5431.02,40.7530,-73.9774,40.7490,-73.9880,member
R90400072,electric_bike,2026-08-17 07:11:45,2026-08-17 07:21:02,Christopher St & Greenwich St,6202.07,University Pl & E 14 St,5183.03,40.7329,-74.0071,40.7349,-73.9922,casual
R90400075,classic_bike,2026-08-17 07:13:56,2026-08-17 07:40:11,E 7 St & Avenue A ,5428.06,Broadway & Battery Pl,6881.14,40.7263,-73.9838,40.7045,-74.0136,member
R90400069,classic_bike,2026-08-17 07:14:21,2026-08-17 07:34:13,E 7 St & Avenue A,5428.06,W 45 St & 6 Ave,6785.05,40.7263,-73.9838,40.7566,-73.9826,member
R90400053,classic_bike,2026-08-17 07:14:28,2026-08-17 07:29:59,South End Ave & Liberty St,6060.05,Cleveland Pl & Spring St,6679.12,40.7112,-74.0158,40.7220,-73.9973,casual
R90400060,classic_bike,2026-08-17 07:16:35,2026-08-17 07:31:01,E 72 St & York Ave,6000.10,W 45 St & 6 Ave,6785.05,40.7660,-73.9535,40.7566,-73.9826,member
R90400082,classic_bike,2026-08-17 07:16:50,2026-08-17 07:38:42,E 75 St & 3 Ave,526,W 41 St & 8 Ave,6419.19,40.7714,-73.9573,40.7562,-73.9901,member
R90400059,classic_bike,2026-08-17 07:17:23,2026-08-17 07:30:18,1 Ave & E 68 St,6056.19,E 43 St & Vanderbilt Ave ,6741.16,40.7651,-73.9582,40.7530,-73.9774,member
R90400031,classic_bike,2026-08-17 07:18:10,2026-08-17 07:35:35,Lafayette St & E 8 St,5906.08,west st & chambers st,6917.09,40.7302,-73.9911,40.7175,-74.0132,member
R90400061,electric_bike,2026-08-17 07:18:27,2026-08-17 07:28:26,E 17 St & Broadway,5307.10,Broadway & W 41 St,6732.19,40.7371,-73.9902,40.7553,-73.9868,member
R90400041,classic_bike,2026-08-17 07:18:32,2026-08-17 07:25:51,broadway & w 41 st,6732.19,W 33 St & 7 Ave,6594.06,40.7553,-73.9868,40.7502,-73.9908,member
R90400081,classic_bike,2026-08-17 07:18:38,2026-08-17 07:32:23,Lexington Ave & E 63 St,5734.15,W 41 St & 8 Ave,6419.19,40.7642,-73.9660,40.7562,-73.9901,member
R90400050,classic_bike,2026-08-17 07:19:30,2026-08-17 07:32:41,University Pl & E 14 St,5183.03,W 33 St & 7 Ave,6594.06,40.7349,-73.9922,40.7502,-73.9908,member
R90400080,classic_bike,2026-08-17 07:20:48,2026-08-17 07:32:55,Lexington Ave & E 63 St,5734.15,Pershing Square North,301,40.7642,-73.9660,40.7518,-73.9778,casual
R90400076,classic_bike,2026-08-17 07:21:29,2026-08-17 07:31:54,Lexington Ave & E 63 St,595,E 43 St & Vanderbilt Ave,6741.16,40.7642,-73.9660,40.7530,-73.9774,member
R90400049,classic_bike,2026-08-17 07:22:12,2026-08-17 07:37:16,Christopher St & Greenwich St,6202.07,Vesey Pl & River Terrace,6741.09,40.7329,-74.0071,40.7153,-74.0163,member
R90400052,classic_bike,2026-08-17 07:24:15,2026-08-17 07:34:16,University Pl & E 14 St,5183.03,Cleveland Pl & Spring St,6679.12,40.7349,-73.9922,40.7220,-73.9973,member
R90400048,classic_bike,2026-08-17 07:24:29,2026-08-17 07:39:38,E 17 St & Broadway,5307.10,W 41 St & 8 Ave,6419.19,40.7371,-73.9902,40.7562,-73.9901,member
R90400068,classic_bike,2026-08-17 07:25:08,2026-08-17 07:35:42,w 21 st & 6 ave,6173.11,Pershing Square North,6711.03,40.7417,-73.9942,40.7518,-73.9778,member
R90400078,classic_bike,2026-08-17 07:25:16,2026-08-17 07:49:24,E 7 St & Avenue A,5428.06,W 41 St & 8 Ave,6419.19,40.7263,-73.9838,40.7562,-73.9901,member
R90400058,electric_bike,2026-08-17 07:26:56,2026-08-17 07:43:06,Christopher St & Greenwich St,6202.07,Pershing Square North,6711.03,40.7329,-74.0071,40.7518,-73.9778,member
R90400054,classic_bike,2026-08-17 07:27:12,2026-08-17 07:53:22,W 21 St & 6 Ave,406,1 Ave & E 68 St,6056.19,40.7417,-73.9942,40.7651,-73.9582,casual
R90400056,classic_bike,2026-08-17 07:27:26,2026-08-17 07:46:57,Broadway & E 14 St,6115.16,Broadway & W 41 St,6732.19,40.7345,-73.9906,40.7553,-73.9868,casual
R90400055,classic_bike,2026-08-17 07:27:50,2026-08-17 07:32:11,8 Ave & W 31 St,6359.12,W 33 St & 7 Ave,6594.06,40.7505,-73.9947,40.7502,-73.9908,member
R90400036,classic_bike,2026-08-17 07:28:15,2026-08-17 07:38:28,Broadway & W 41 St,241,E 47 St & Park Ave,415,40.7553,-73.9868,40.7550,-73.9750,casual
R90400039,electric_bike,2026-08-17 07:28:59,2026-08-17 07:40:16,Broadway & E 14 St,6115.16,W 41 St & 8 Ave,6419.19,40.7345,-73.9906,40.7562,-73.9901,member
R90400066,classic_bike,2026-08-17 07:30:13,2026-08-17 07:08:13,Lexington Ave & E 63 St,5734.15,Pershing Square North,301,40.7642,-73.9660,40.7518,-73.9778,member
R90400047,classic_bike,2026-08-17 07:32:32,2026-08-17 07:42:22,Lexington Ave & E 63 St,5734.15,E 43 St & Vanderbilt Ave,6741.16,40.7642,-73.9660,40.7530,-73.9774,casual
R90400051,classic_bike,2026-08-17 07:32:39,2026-08-17 07:47:14,Broadway & W 41 St,6732.19,w 21 st & 6 ave,6173.11,40.7553,-73.9868,40.7417,-73.9942,member
R90400038,classic_bike,2026-08-17 07:32:43,2026-08-17 07:43:33,Lexington Ave & E 63 St,5734.15,E 43 St & Vanderbilt Ave,6741.16,40.7642,-73.9660,40.7530,-73.9774,member
R90400038,classic_bike,2026-08-17 07:32:43,2026-08-17 07:43:33,Lexington Ave & E 63 St,5734.15,E 43 St & Vanderbilt Ave,6741.16,40.7642,-73.9660,40.7530,-73.9774,member
R90400046,classic_bike,2026-08-17 07:34:09,2026-08-17 07:48:27,W 20 St & 11 Ave,5160.04,Broadway & W 41 St,6732.19,40.7465,-74.0077,40.7553,-73.9868,member
R90400065,electric_bike,2026-08-17 07:41:24,2026-08-17 07:54:49,Lafayette St & E 8 St,5906.08,W 41 St & 8 Ave,6419.19,40.7302,-73.9911,40.7562,-73.9901,casual
R90400064,classic_bike,2026-08-17 07:42:42,2026-08-17 07:55:55,University Pl & E 14 St,5183.03,Cleveland Pl & Spring St,6679.12,40.7349,-73.9922,40.7220,-73.9973,member
R90400040,classic_bike,2026-08-17 07:43:00,2026-08-17 08:03:15,Broadway & E 14 St,6115.16,Vesey Pl & River Terrace,6741.09,40.7345,-73.9906,40.7153,-74.0163,casual
R90400044,classic_bike,2026-08-17 07:43:19,2026-08-17 07:59:47,Broadway & E 14 St,6115.16,Vesey Pl & River Terrace,6741.09,40.7345,-73.9906,40.7153,-74.0163,member
R90400077,classic_bike,2026-08-17 07:43:55,2026-08-17 07:52:53,Pershing Square North,6711.03,W 41 St & 8 Ave,6419.19,40.7518,-73.9778,40.7562,-73.9901,member
R90400034,electric_bike,2026-08-17 07:44:26,2026-08-17 07:50:01,W 26 St & 8 Ave,6253.07,W 33 St & 7 Ave,6594.06,40.7472,-73.9973,40.7502,-73.9908,member
R90400042,classic_bike,2026-08-17 07:45:29,2026-08-17 08:03:26,Christopher St & Greenwich St,6202.07,W 33 St & 7 Ave ,6594.06,40.7329,-74.0071,40.7502,-73.9908,member
R90400045,classic_bike,2026-08-17 07:47:00,2026-08-17 08:00:55,1 Ave & E 68 St,6056.19,E 43 St & Vanderbilt Ave,6741.16,40.7651,-73.9582,40.7530,-73.9774,member
R90400062,electric_bike,2026-08-17 07:47:40,2026-08-17 08:04:17,W 20 St & 11 Ave,5160.04,E 47 St & Park Ave,6462.07,40.7465,-74.0077,40.7550,-73.9750,member
R90400073,classic_bike,2026-08-17 07:49:31,2026-08-17 08:05:37,Broadway & E 14 St,6115.16,e 43 st & vanderbilt ave,6741.16,40.7345,-73.9906,40.7530,-73.9774,member
R90400057,electric_bike,2026-08-17 07:49:46,2026-08-17 07:59:40,Cleveland Pl & Spring St,6679.12,south end ave & liberty st,259,40.7220,-73.9973,40.7112,-74.0158,member
R90400035,electric_bike,2026-08-17 07:50:42,2026-08-17 07:58:11,W 33 St & 7 Ave,6594.06,pershing square north,6711.03,40.7502,-73.9908,40.7518,-73.9778,casual
R90400033,electric_bike,2026-08-17 07:52:31,2026-08-17 07:57:32,E 75 St & 3 Ave,526,1 Ave & E 68 St ,6056.19,40.7714,-73.9573,40.7651,-73.9582,member
R90400070,classic_bike,2026-08-17 07:54:40,2026-08-17 08:04:53,W 26 St & 8 Ave,6253.07,Pershing Square North,6711.03,40.7472,-73.9973,40.7518,-73.9778,member
R90400074,classic_bike,2026-08-17 07:55:12,2026-08-17 08:05:05,W 21 St & 6 Ave,6173.11,W 33 St & 7 Ave,6594.06,40.7417,-73.9942,40.7502,-73.9908,member
R90400037,classic_bike,2026-08-17 07:57:42,2026-08-17 08:23:41,E 75 St & 3 Ave,6186.15,W 33 St & 7 Ave,6594.06,40.7714,-73.9573,40.7502,-73.9908,casual
R90400063,classic_bike,2026-08-17 07:59:10,2026-08-17 08:11:20,W 20 St & 11 Ave,5160.04,W 41 St & 8 Ave,6419.19,40.7465,-74.0077,40.7562,-73.9901,member
R90400043,classic_bike,2026-08-17 07:59:43,2026-08-17 08:27:07,E 7 St & Avenue A,5428.06,South End Ave & Liberty St,6060.05,40.7263,-73.9838,40.7112,-74.0158,member
R90400097,classic_bike,2026-08-17 08:02:30,2026-08-17 08:15:03,lexington ave & e 63 st,5734.15,Pershing Square North,301,40.7642,-73.9660,40.7518,-73.9778,casual
R90400132,electric_bike,2026-08-17 08:03:36,2026-08-17 08:12:09,pershing square north,6711.03,6 Ave & W 33 St,5431.02,40.7518,-73.9778,40.7490,-73.9880,member
R90400124,classic_bike,2026-08-17 08:03:45,2026-08-17 08:14:16,Lexington Ave & E 63 St,5734.15,W 45 St & 6 Ave,6785.05,40.7642,-73.9660,40.7566,-73.9826,member
R90400130,classic_bike,2026-08-17 08:07:18,2026-08-17 08:19:54,Lexington Ave & E 63 St,5734.15,E 43 St & Vanderbilt Ave,6741.16,40.7642,-73.9660,40.7530,-73.9774,member
R90400087,electric_bike,2026-08-17 08:07:42,2026-08-17 08:13:23,Lafayette St & E 8 St,5906.08,Cleveland Pl & Spring St,6679.12,40.7302,-73.9911,40.7220,-73.9973,member
R90400137,classic_bike,2026-08-17 08:08:17,2026-08-17 08:15:19,Lafayette St & E 8 St,5906.08,University Pl & E 14 St,5183.03,40.7302,-73.9911,40.7349,-73.9922,member
R90400123,electric_bike,2026-08-17 08:08:43,2026-08-17 08:21:29,Christopher St & Greenwich St,6202.07,Vesey Pl & River Terrace,6741.09,40.7329,-74.0071,40.7153,-74.0163,member
R90400111,classic_bike,2026-08-17 08:09:03,2026-08-17 08:26:35,Broadway & E 14 St,6115.16,Vesey Pl & River Terrace,6741.09,40.7345,-73.9906,40.7153,-74.0163,casual
R90400120,classic_bike,2026-08-17 08:09:37,2026-08-17 08:25:30,Broadway & E 14 St,6115.16,Broadway & W 41 St,6732.19,40.7345,-73.9906,40.7553,-73.9868,casual
R90400096,electric_bike,2026-08-17 08:09:52,2026-08-17 08:15:10,Carmine St & 6 Ave,6650.03,Christopher St & Greenwich St,6202.07,40.7303,-74.0022,40.7329,-74.0071,member
R90400092,classic_bike,2026-08-17 08:11:36,2026-08-17 08:28:13,E 7 St & Avenue A,5428.06,South End Ave & Liberty St,6060.05,40.7263,-73.9838,40.7112,-74.0158,member
R90400122,classic_bike,2026-08-17 08:11:44,2026-08-17 08:27:31,University Pl & E 14 St,5183.03,W 33 St & 7 Ave,6594.06,40.7349,-73.9922,40.7502,-73.9908,member
R90400093,classic_bike,2026-08-17 08:11:51,2026-08-17 08:24:51,1 Ave & E 68 St,6056.19,E 47 St & Park Ave,6462.07,40.7651,-73.9582,40.7550,-73.9750,casual
R90400121,classic_bike,2026-08-17 08:13:33,2026-08-17 08:18:38,W 45 St & 6 Ave,6785.05,E 43 St & Vanderbilt Ave,6741.16,40.7566,-73.9826,40.7530,-73.9774,member
R90400134,electric_bike,2026-08-17 08:13:59,2026-08-17 08:24:09,University Pl & E 14 St,382,Pershing Square North,6711.03,40.7349,-73.9922,40.7518,-73.9778,casual
R90400091,electric_bike,2026-08-17 08:14:26,2026-08-17 08:20:10,Lafayette St & E 8 St,5906.08,Cleveland Pl & Spring St,6679.12,40.7302,-73.9911,40.7220,-73.9973,member
R90400110,electric_bike,2026-08-17 08:15:58,2026-08-17 08:26:32,e 43 st & vanderbilt ave,6741.16,Lexington Ave & E 63 St,5734.15,40.7530,-73.9774,40.7642,-73.9660,member
R90400094,electric_bike,2026-08-17 08:17:29,2026-08-17 08:32:54,Christopher St & Greenwich St,6202.07,W 41 St & 8 Ave,6419.19,40.7329,-74.0071,40.7562,-73.9901,member
R90400116,electric_bike,2026-08-17 08:18:25,2026-08-17 08:30:02,Lexington Ave & E 63 St,5734.15,W 41 St & 8 Ave,6419.19,40.7642,-73.9660,40.7562,-73.9901,member
R90400105,classic_bike,2026-08-17 08:18:30,2026-08-17 08:24:17,Broadway & E 14 St,6115.16,Lafayette St & E 8 St,5906.08,40.7345,-73.9906,40.7302,-73.9911,member
R90400102,classic_bike,2026-08-17 08:18:53,2026-08-17 08:25:15,University Pl & E 14 St,5183.03,W 21 St & 6 Ave,6173.11,40.7349,-73.9922,40.7417,-73.9942,member
R90400085,electric_bike,2026-08-17 08:22:45,2026-08-17 08:37:43,Lafayette St & E 8 St,5906.08,W 41 St & 8 Ave,6419.19,40.7302,-73.9911,40.7562,-73.9901,member
R90400083,electric_bike,2026-08-17 08:22:56,2026-08-17 08:42:34,Christopher St & Greenwich St,6202.07,Pershing Square North,6711.03,40.7329,-74.0071,40.7518,-73.9778,casual
R90400108,electric_bike,2026-08-17 08:23:18,2026-08-17 08:31:47,E 47 St & Park Ave,6462.07,W 41 St & 8 Ave,6419.19,40.7550,-73.9750,40.7562,-73.9901,member
R90400114,classic_bike,2026-08-17 08:25:43,2026-08-17 08:40:47,Lafayette St & E 8 St,5906.08,W 33 St & 7 Ave,6594.06,40.7302,-73.9911,40.7502,-73.9908,member
R90400133,classic_bike,2026-08-17 08:26:44,2026-08-17 08:28:11,University Pl & E 14 St,5183.03,University Pl & E 14 St,5183.03,40.7349,-73.9922,40.7349,-73.9922,member
R90400107,classic_bike,2026-08-17 08:28:56,2026-08-17 08:30:35,Broadway & E 14 St,6115.16,University Pl & E 14 St,5183.03,40.7345,-73.9906,40.7349,-73.9922,member
R90400115,docked_bike,2026-08-17 08:29:00,2026-08-17 08:40:51,Lexington Ave & E 63 St,5734.15,E 43 St & Vanderbilt Ave,6741.16,40.7642,-73.9660,40.7530,-73.9774,member
R90400131,classic_bike,2026-08-17 08:29:06,2026-08-17 08:37:22,E 7 St & Avenue A,5428.06,Lafayette St & E 8 St,5906.08,40.7263,-73.9838,40.7302,-73.9911,casual
R90400089,classic_bike,2026-08-17 08:29:50,2026-08-17 08:46:35,E 72 St & York Ave,6000.10,Pershing Square North,6711.03,40.7660,-73.9535,40.7518,-73.9778,member
R90400098,classic_bike,2026-08-17 08:30:18,2026-08-17 08:38:13,Lafayette St & E 8 St,5906.08,Cleveland Pl & Spring St,6679.12,40.7302,-73.9911,40.7220,-73.9973,member
R90400136,classic_bike,2026-08-17 08:30:52,2026-08-17 08:45:51,Broadway & E 14 St,6115.16,e 43 st & vanderbilt ave,6741.16,40.7345,-73.9906,40.7530,-73.9774,casual
R90400118,electric_bike,2026-08-17 08:32:15,2026-08-17 08:44:01,Lexington Ave & E 63 St,5734.15,W 45 St and 6 Ave,6785.05,40.7642,-73.9660,40.7566,-73.9826,member
R90400100,classic_bike,2026-08-17 08:34:19,2026-08-17 08:46:29,Christopher St & Greenwich St,6202.07,West St & Chambers St,6917.09,40.7329,-74.0071,40.7175,-74.0132,member
R90400099,electric_bike,2026-08-17 08:35:13,2026-08-17 08:57:21,E 17 St & Broadway,5307.10,Broadway & Battery Pl,6881.14,40.7371,-73.9902,40.7045,-74.0136,member
R90400112,classic_bike,2026-08-17 08:39:33,2026-08-17 08:44:41,W 45 St & 6 Ave,6785.05,Pershing Square North,6711.03,40.7566,-73.9826,40.7518,-73.9778,member
R90400090,electric_bike,2026-08-17 08:40:38,2026-08-17 08:46:52,South End Ave & Liberty St,259,Vesey Pl & River Terrace,6741.09,40.7112,-74.0158,40.7153,-74.0163,casual
R90400086,classic_bike,2026-08-17 08:41:08,2026-08-17 09:13:46,8  Ave & W 31 St,6359.12,Broadway & Battery Pl,6881.14,40.7505,-73.9947,40.7045,-74.0136,member
R90400103,electric_bike,2026-08-17 08:41:34,2026-08-17 08:53:27,W 21 St & 6 Ave,6173.11,Pershing Square North,6711.03,40.7417,-73.9942,40.7518,-73.9778,member
R90400128,classic_bike,2026-08-17 08:41:37,2026-08-17 08:58:20,Lafayette St & E 8 St,5906.08,west st & chambers st,6917.09,40.7302,-73.9911,40.7175,-74.0132,member
R90400106,classic_bike,2026-08-17 08:42:08,2026-08-17 08:59:51,E 7 St & Avenue A,5428.06,6 Ave & W 33 St,5431.02,40.7263,-73.9838,40.7490,-73.9880,member
R90400127,classic_bike,2026-08-17 08:42:15,2026-08-17 09:05:20,Lexington Ave & E 63 St,5734.15,6 Ave & W 33 St,5431.02,40.7642,-73.9660,40.7490,-73.9880,member
R90400088,electric_bike,2026-08-17 08:46:38,2026-08-17 09:02:21,1 Ave & E 68 St,371,W 41 St & 8 Ave,6419.19,40.7651,-73.9582,40.7562,-73.9901,member
R90400135,classic_bike,2026-08-17 08:46:52,2026-08-17 09:09:58,E 7 St & Avenue A,5428.06,E 47 St & Park Ave,6462.07,40.7263,-73.9838,40.7550,-73.9750,member
R90400104,classic_bike,2026-08-17 08:47:03,2026-08-17 08:51:58,E 43 St & Vanderbilt Ave,6741.16,Pershing Square North,6711.03,40.7530,-73.9774,40.7518,-73.9778,member
R90400084,classic_bike,2026-08-17 08:47:46,2026-08-17 09:01:41,E 72 St & York Ave,6000.10,E 47 St & Park Ave,6462.07,40.7660,-73.9535,40.7550,-73.9750,member
R90400109,classic_bike,2026-08-17 08:49:11,2026-08-17 08:51:33,6 Ave & W 33 St,5431.02,W 33 St & 7 Ave,6594.06,40.7490,-73.9880,40.7502,-73.9908,casual
R90400117,classic_bike,2026-08-17 08:50:27,2026-08-17 09:00:00,E 17 St & Broadway,5307.10,6 Ave & W 33 St,532,40.7371,-73.9902,40.7490,-73.9880,member
R90400119,electric_bike,2026-08-17 08:50:51,2026-08-17 09:02:14,W 17 St & 8 Ave,5891.11,Pershing Square North,6711.03,40.7418,-74.0015,40.7518,-73.9778,member
R90400101,electric_bike,2026-08-17 08:52:26,2026-08-17 09:06:08,E 17 St & Broadway,5307.10,Pershing Square North,6711.03,40.7371,-73.9902,40.7518,-73.9778,member
R90400126,classic_bike,2026-08-17 08:55:53,2026-08-17 09:07:08,lexington ave & e 63 st,5734.15,E 75 St & 3 Ave,6186.15,40.7642,-73.9660,40.7714,-73.9573,member
R90400125,classic_bike,2026-08-17 08:55:55,2026-08-17 09:01:15,University Pl & E 14 St,5183.03,Lafayette St & E 8 St,5906.08,40.7349,-73.9922,40.7302,-73.9911,member
R90400129,classic_bike,2026-08-17 08:56:22,2026-08-17 09:00:52,Broadway & E 14 St,6115.16,University Pl & E 14 St,382,40.7345,-73.9906,40.7349,-73.9922,member
R90400113,classic_bike,2026-08-17 08:56:43,2026-08-17 09:08:50,Pershing Square North,6711.03,W 26 St & 8 Ave,6253.07,40.7518,-73.9778,40.7472,-73.9973,casual
R90400095,classic_bike,2026-08-17 08:59:44,2026-08-17 09:14:58,Christopher St & Greenwich St ,6202.07,W 33 St & 7 Ave,6594.06,40.7329,-74.0071,40.7502,-73.9908,member
R90400151,electric_bike,2026-08-17 09:02:58,2026-08-17 09:09:36,W 20 St & 11 Ave,5160.04,W 33 St & 7 Ave,6594.06,40.7465,-74.0077,40.7502,-73.9908,casual
R90400169,classic_bike,2026-08-17 09:03:12,2026-08-17 09:18:27,University Pl & E 14 St,5183.03,Pershing Square North,6711.03,40.7349,-73.9922,40.7518,-73.9778,casual
R90400156,classic_bike,2026-08-17 09:04:02,2026-08-17 09:09:05,w 26 st & 8 ave,6253.07,W 33 St & 7 Ave,6594.06,40.7472,-73.9973,40.7502,-73.9908,member
R90400148,classic_bike,2026-08-17 09:05:01,2026-08-17 09:18:36,W 20 St & 11 Ave,5160.04,Broadway & W 41 St,6732.19,40.7465,-74.0077,40.7553,-73.9868,member
R90400182,electric_bike,2026-08-17 09:07:22,2026-08-17 09:25:22,1 Ave & E 68 St,6056.19,Broadway & W 41 St,6732.19,40.7651,-73.9582,40.7553,-73.9868,member
R90400143,classic_bike,2026-08-17 09:07:41,2026-08-17 09:12:42,W 45 St & 6 Ave,6785.05,w 41 st & 8 ave,6419.19,40.7566,-73.9826,40.7562,-73.9901,casual
R90400172,electric_bike,2026-08-17 09:10:33,2026-08-17 09:26:20,E 7 St & Avenue A ,5428.06,South End Ave & Liberty St,6060.05,40.7263,-73.9838,40.7112,-74.0158,member
